movie_title,actor_count,actors_list
Judgment at Nuremberg,16,"Spencer_Tracy, Burt_Lancaster, Richard_Widmark, Marlene_Dietrich, Maximilian_Schell, Judy_Garland, Montgomery_Clift, William_Shatner, Werner_Klemperer, Kenneth_MacKenna, Torben_Meyer, Alan_Baxter, Edward_Binns, Virginia_Christine, Otto_Waldis, Karl_Swenson"
Jurassic Park,18,"Sam_Neill, Laura_Dern, Jeff_Goldblum, Richard_Attenborough, Bob_Peck, Martin_Ferrero, BD_Wong, Joseph_Mazzello, Ariana_Richards, Samuel_L._Jackson, Wayne_Knight, Gerald_R._Molen, Miguel_Sandoval, Cameron_Thor, Christopher_John_Fields, Whit_Flint, Dean_Cundey, Jophery_C._Brown"
Kill Bill Vol. 1,17,"Uma_Thurman, David_Carradine, Daryl_Hannah, Lucy_Liu, Vivica_A._Fox, Michael_Madsen, Julie_Dreyfus, Chiaki_Kuriyama, Shin'ichi_Chiba, Chia-Hui_Liu, Michael_Parks, Michael_Bowen, Jun_Kunimura, Kenji_Ôba, Yuki_Kazamatsuri, James_Parks, Jonathan_Loughran"
Klaus,16,"Jason_Schwartzman, J.K._Simmons, Rashida_Jones, Will_Sasso, Sergio_Pablos, Norm_MacDonald, Joan_Cusack, Evan_Agos, Sky_Alexis, Jaeden_Bettencourt, Teddy_Blum, Mila_Brener, Sydney_Brower, Finn_Carr, Kendall_Joy_Hall, Hailey_Hermida"
L.A. Confidential,17,"Kevin_Spacey, Russell_Crowe, Guy_Pearce, James_Cromwell, Kim_Basinger, Danny_DeVito, David_Strathairn, Ron_Rifkin, Matt_McCoy, Paul_Guilfoyle, Paolo_Seganti, Sandra_Taylor, Steve_Rankin, Graham_Beckel, Allan_Graf, Precious_Chong, Symba"
La haine,4,"Vincent_Cassel, Hubert_Koundé, Saïd_Taghmaoui, Benoît_Magimel"
Lawrence of Arabia,18,"Peter_O'Toole, Alec_Guinness, Anthony_Quinn, Jack_Hawkins, Omar_Sharif, José_Ferrer, Anthony_Quayle, Claude_Rains, Arthur_Kennedy, Donald_Wolfit, I.S._Johar, Gamil_Ratib, Michel_Ray, John_Dimech, Zia_Mohyeddin, Howard_Marion-Crawford, Jack_Gwillim, Hugh_Miller"
Life Is Beautiful,7,"Roberto_Benigni, Nicoletta_Braschi, Giorgio_Cantarini, Marisa_Paredes, Horst_Buchholz, Lidia_Alfonsi, Amerigo_Fontani"
Like Stars on Earth,11,"Darsheel_Safary, Aamir_Khan, Tisca_Chopra, Vipin_Sharma, Tanay_Chheda, Girija_Oak, Meghna_Malik, Sonali_Sachdev, Rajgopal_Iyer, Bugs_Bhargava_Krishna, M.K._Raina"
"Lock, Stock and Two Smoking Barrels",12,"Jason_Flemyng, Dexter_Fletcher, Nick_Moran, Jason_Statham, Steven_Mackintosh, Nicholas_Rowe, Vinnie_Jones, Lenny_McLean, P.H._Moriarty, Frank_Harper, Steve_Sweeney, Stephen_Marcus"
Logan,17,"Hugh_Jackman, Patrick_Stewart, Dafne_Keen, Boyd_Holbrook, Stephen_Merchant, Elizabeth_Rodriguez, Richard_E._Grant, Eriq_La_Salle, Elise_Neal, Quincy_Fouse, Al_Coronel, Frank_Gallegos, Reynaldo_Gallegos, Krzysztof_Soszynski, Stephen_Dunlevy, Daniel_Bernhardt, Ryan_Sturz"
Léon The Professional,13,"Jean_Reno, Gary_Oldman, Natalie_Portman, Danny_Aiello, Peter_Appel, Willi_One_Blood, Don_Creech, Michael_Badalucco, Ellen_Greene, Elizabeth_Regen, Frank_Senger, Lucius_Wyatt_Cherokee, Maïwenn"
M,14,"Peter_Lorre, Inge_Landgut, Otto_Wernicke, Theodor_Loos, Gustaf_Gründgens, Fritz_Odemar, Paul_Kemp, Theo_Lingen, Georg_John, Ernst_Stahl-Nachbaur, Gerhard_Bienert, Karl_Platen, Rosa_Valetti, Hertha_von_Walther"
Mad Max Fury Road,17,"Tom_Hardy, Charlize_Theron, Nicholas_Hoult, Hugh_Keays-Byrne, Josh_Helman, Nathan_Jones, Zoë_Kravitz, Rosie_Huntington-Whiteley, Riley_Keough, Abbey_Lee, Courtney_Eaton, John_Howard, Richard_Carter, Iota, Angus_Sampson, Megan_Gale, Melissa_Jaffer"
Maharaja,8,"Vijay_Sethupathi, Anurag_Kashyap, Mamta_Mohandas, Abhirami, Divya_Bharathi, Aruldoss, Munishkanth, Bharathiraja"
Mary and Max,6,"Toni_Collette, Philip_Seymour_Hoffman, Eric_Bana, Christopher_Massey, Patrick_McCabe, Adam_Elliot"
Memento,14,"Guy_Pearce, Carrie-Anne_Moss, Joe_Pantoliano, Mark_Boone_Junior, Russ_Fega, Jorja_Fox, Stephen_Tobolowsky, Harriet_Sansom_Harris, Thomas_Lennon, Callum_Keith_Rennie, Kimberly_Campbell, Marianne_Muellerleile, Larry_Holden, Doshia_Darmane"
Memories of Murder,12,"Song_Kang-ho, Kim_Sang-kyung, Kim_Roe-ha, Song_Jae-ho, Byun_Hee-Bong, Ko_Seo-hie, Ryu_Tae-ho, Park_No-shik, Park_Hae-il, Jeon_Mi-seon, Seo_Young-hwa, Shin_Hyun-jong"
Metropolis,11,"Brigitte_Helm, Alfred_Abel, Gustav_Fröhlich, Rudolf_Klein-Rogge, Fritz_Rasp, Theodor_Loos, Heinrich_George, Fritz_Alberti, Grete_Berger, Heinrich_Gotho, Dolly_Grey"
Million Dollar Baby,14,"Hilary_Swank, Clint_Eastwood, Morgan_Freeman, Jay_Baruchel, Mike_Colter, Brían_F._O'Byrne, Anthony_Mackie, Margo_Martindale, Riki_Lindhome, Michael_Peña, Benito_Martinez, Joe_D'Angerio, Marcus_Chait, Tom_McCleister"
Modern Times,15,"Charles_Chaplin, Paulette_Goddard, Henry_Bergman, Tiny_Sandford, Chester_Conklin, Hank_Mann, Stanley_Blystone, Al_Ernest_Garcia, Richard_Alexander, Mira_McKinney, Murdock_MacQuarrie, Wilfred_Lucas, Edward_LeSaint, Fred_Malatesta, Sammy_Stein"
"Monsters, Inc",17,"Billy_Crystal, John_Goodman, Mary_Gibbs, Steve_Buscemi, James_Coburn, Jennifer_Tilly, Bob_Peterson, John_Ratzenberger, Frank_Oz, Daniel_Gerson, Steve_Susskind, Bonnie_Hunt, Jeff_Pidgeon, Jack_Angel, Bob_Bergen, Rodger_Bumpass, Gino_Conforti"
Monty Python and the Holy Grail,12,"Graham_Chapman, John_Cleese, Eric_Idle, Terry_Gilliam, Terry_Jones, Michael_Palin, Connie_Booth, Carol_Cleveland, Neil_Innes, John_Young, Rita_Davies, Sandy_Johnson"
Mr. Smith Goes to Washington,18,"James_Stewart, Jean_Arthur, Claude_Rains, Edward_Arnold, Guy_Kibbee, Thomas_Mitchell, Eugene_Pallette, Beulah_Bondi, H.B._Warner, Harry_Carey, Astrid_Allwyn, Ruth_Donnelly, Grant_Mitchell, Porter_Hall, H.V._Kaltenborn, Charles_Lane, Pierre_Watkin, Dick_Elliott"
My Father and My Son,8,"Çetin_Tekindor, Hümeyra, Serif_Sezer, Yetkin_Dikinciler, Binnur_Kaya, Tuba_Büyüküstün, Özge_Özberk, Halit_Ergenç"
My Neighbor Totoro,4,"Sumi_Shimamoto, Tanie_Kitabayashi, Shigeru_Chiba, Naoki_Tatsuta"
Network,16,"Faye_Dunaway, William_Holden, Peter_Finch, Robert_Duvall, Wesley_Addy, Ned_Beatty, Arthur_Burghardt, Bill_Burrows, John_Carpenter, Jordan_Charney, Kathy_Cronkite, Ed_Crowley, Jerome_Dempsey, Conchata_Ferrell, Cindy_Grover, Darryl_Hickman"
No Country for Old Men,15,"Tommy_Lee_Jones, Javier_Bardem, Josh_Brolin, Woody_Harrelson, Kelly_Macdonald, Garret_Dillahunt, Tess_Harper, Barry_Corbin, Stephen_Root, Rodger_Boyce, Beth_Grant, Ana_Reeder, Kit_Gwin, Gene_Jones, Myk_Watford"
North by Northwest,17,"Cary_Grant, Eva_Marie_Saint, James_Mason, Jessie_Royce_Landis, Leo_G._Carroll, Josephine_Hutchinson, Philip_Ober, Martin_Landau, Adam_Williams, Edward_Platt, Robert_Ellenstein, Les_Tremayne, Philip_Coolidge, Patrick_McVey, Edward_Binns, Ken_Lynch, Stanley_Adams"
Oldboy,9,"Choi_Min-sik, Yoo_Ji-tae, Kang_Hye-jeong, Kim_Byeong-Ok, Oh_Dal-su, Lee_Seung-shin, Yoon_Jin-seo, Yoo_Yeon-seok, Kim_Young_Ae"
On the Waterfront,10,"Marlon_Brando, Karl_Malden, Lee_J._Cobb, Rod_Steiger, Pat_Henning, Leif_Erickson, James_Westerfield, Rudy_Bond, Eva_Marie_Saint, Martin_Balsam"
Once Upon a Time in America,15,"Robert_De_Niro, James_Woods, Elizabeth_McGovern, Treat_Williams, Tuesday_Weld, Burt_Young, Joe_Pesci, Danny_Aiello, William_Forsythe, James_Hayden, Darlanne_Fluegel, Larry_Rapp, Robert_Harper, Richard_Bright, Olga_Karlatos"
Once Upon a Time in the West,14,"Henry_Fonda, Charles_Bronson, Claudia_Cardinale, Jason_Robards, Gabriele_Ferzetti, Paolo_Stoppa, Woody_Strode, Jack_Elam, Keenan_Wynn, Frank_Wolff, Lionel_Stander, Salvatore_Basile, Aldo_Berti, Frank_Braña"
One Flew Over the Cuckoo's Nest,11,"Jack_Nicholson, Louise_Fletcher, Michael_Berryman, Peter_Brocco, Scatman_Crothers, Mwako_Cumbuka, Danny_DeVito, Josip_Elic, Nathan_George, Sydney_Lassick, Christopher_Lloyd"
Oppenheimer,18,"Cillian_Murphy, Emily_Blunt, Matt_Damon, Robert_Downey_Jr., Alden_Ehrenreich, Scott_Grimes, Jason_Clarke, Kurt_Koehler, Tony_Goldwyn, John_Gowans, Macon_Blair, James_D'Arcy, Kenneth_Branagh, Harry_Groener, Gregory_Jbara, Ted_King, Tim_DeKay, Steven_Houska"
Pan's Labyrinth,12,"Ivana_Baquero, Ariadna_Gil, Sergi_López, Maribel_Verdú, Doug_Jones, Álex_Angulo, Manolo_Solo, César_Vea, Roger_Casamajor, Ivan_Massagué, Francisco_Vidal, Juanjo_Cucalón"
Parasite,15,"Song_Kang-ho, Lee_Sun-kyun, Cho_Yeo-jeong, Choi_Woo-sik, Park_So-dam, Lee_Jeong-eun, Jang_Hye-jin, Park_Myeong-hoon, Jung_Ji-so, Jung_Hyun-jun, Park_Keun-rok, Jung_Yi-seo, Jung_Ik-han, Kim_Kyu-baek, Ahn_Seong-bong"
Paths of Glory,15,"Kirk_Douglas, Ralph_Meeker, Adolphe_Menjou, George_Macready, Wayne_Morris, Richard_Anderson, Joe_Turkel, Christiane_Kubrick, Jerry_Hausner, Peter_Capell, Emile_Meyer, Bert_Freed, Timothy_Carey, Fred_Bell, John_Stein"
Pirates of the Caribbean The Curse of the Black Pearl,18,"Johnny_Depp, Geoffrey_Rush, Orlando_Bloom, Keira_Knightley, Jack_Davenport, Jonathan_Pryce, Lee_Arenberg, Mackenzie_Crook, Damian_O'Hare, Giles_New, Angus_Barnett, David_Bailie, Michael_Berry_Jr., Isaac_C._Singleton_Jr., Kevin_McNally, Treva_Etienne, Zoe_Saldaña, Guy_Siner"
Platoon,18,"Charlie_Sheen, Tom_Berenger, Willem_Dafoe, Keith_David, Forest_Whitaker, Francesco_Quinn, Kevin_Dillon, John_C._McGinley, Reggie_Johnson, Mark_Moses, Corey_Glover, Johnny_Depp, Chris_Pedersen, Bob_Orwig, Corkey_Ford, David_Neidorf, Richard_Edson, Tony_Todd"
Princess Mononoke,6,"Yuriko_Ishida, Kaoru_Kobayashi, Masahiko_Nishimura, Sumi_Shimamoto, Tetsu_Watanabe, Makoto_Satô"
Prisoners,18,"Hugh_Jackman, Jake_Gyllenhaal, Viola_Davis, Maria_Bello, Terrence_Howard, Melissa_Leo, Paul_Dano, Dylan_Minnette, Zoë_Soul, Erin_Gerasimovich, Kyla-Drew, Wayne_Duvall, Len_Cariou, David_Dastmalchian, Brad_James, Anthony_Reynolds, Robert_C._Treveiler, Sandra_Ellis_Lafferty"
Psycho,14,"Anthony_Perkins, Janet_Leigh, Vera_Miles, John_Gavin, Martin_Balsam, John_McIntire, Simon_Oakland, Frank_Albertson, Patricia_Hitchcock, Vaughn_Taylor, Lurene_Tuttle, John_Anderson, Mort_Mills, Johnny_Clark"
Pulp Fiction,15,"John_Travolta, Uma_Thurman, Samuel_L._Jackson, Tim_Roth, Amanda_Plummer, Laura_Lovelace, Phil_LaMarr, Frank_Whaley, Burr_Steers, Bruce_Willis, Ving_Rhames, Bronagh_Gallagher, Rosanna_Arquette, Eric_Stoltz, Michael_Gilden"
Raging Bull,12,"Robert_De_Niro, Cathy_Moriarty, Joe_Pesci, Frank_Vincent, Nicholas_Colasanto, Theresa_Saldana, Mario_Gallo, Frank_Adonis, Frank_Topham, Lori_Anne_Flax, Charles_Scorsese, Bernie_Allen"
Raiders of the Lost Ark,17,"Harrison_Ford, Karen_Allen, Paul_Freeman, Ronald_Lacey, John_Rhys-Davies, Denholm_Elliott, Alfred_Molina, Wolf_Kahler, Anthony_Higgins, Vic_Tablian, Don_Fellows, William_Hootkins, Fred_Sorenson, Patrick_Durkin, Matthew_Scurfield, Malcolm_Weaver, Sonny_Caldinez"
Ran,13,"Tatsuya_Nakadai, Akira_Terao, Jinpachi_Nezu, Daisuke_Ryû, Mieko_Harada, Yoshiko_Miyazaki, Hisashi_Igawa, Pîtâ, Masayuki_Yui, Kenji_Kodama, Mansai_Nomura, Takeshi_Katô, Jun_Tazaki"
Rashomon,8,"Toshirô_Mifune, Machiko_Kyô, Masayuki_Mori, Takashi_Shimura, Minoru_Chiaki, Kichijirô_Ueda, Noriko_Honma, Daisuke_Katô"
Ratatouille,15,"Brad_Garrett, Lou_Romano, Patton_Oswalt, Ian_Holm, Brian_Dennehy, Peter_Sohn, Peter_O'Toole, Janeane_Garofalo, Will_Arnett, James_Remar, John_Ratzenberger, Theodore_Newton, Tony_Fucile, Jake_Steinfeld, Brad_Bird"
Rear Window,16,"James_Stewart, Grace_Kelly, Wendell_Corey, Thelma_Ritter, Raymond_Burr, Judith_Evelyn, Ross_Bagdasarian, Georgine_Darcy, Sara_Berner, Frank_Cady, Jesslyn_Fax, Irene_Winston, Jerry_Antes, Barbara_Bailey, Benny_Bartlett, Nick_Borgani"
Requiem for a Dream,14,"Ellen_Burstyn, Jared_Leto, Jennifer_Connelly, Marlon_Wayans, Christopher_McDonald, Louise_Lasser, Marcia_Jean_Kurtz, Suzanne_Shepherd, Mark_Margolis, Michael_Kaycheck, Jack_O'Connell, Ajay_Naidu, Sean_Gullette, Samia_Shoaib"
Reservoir Dogs,14,"Harvey_Keitel, Tim_Roth, Michael_Madsen, Chris_Penn, Steve_Buscemi, Lawrence_Tierney, Randy_Brooks, Kirk_Baltz, Edward_Bunker, Quentin_Tarantino, Rich_Turner, David_Steen, Lawrence_Bender, Linda_Kaye"
Rocky,18,"Sylvester_Stallone, Talia_Shire, Burt_Young, Carl_Weathers, Burgess_Meredith, Thayer_David, Joe_Spinell, Jimmy_Gambina, Bill_Baldwin, Al_Silvani, George_Memmoli, Jodi_Letizia, Diana_Lewis, George_O'Hanlon, Larry_Carroll, Stan_Shaw, Don_Sherman, Billy_Sands"
Room,13,"Brie_Larson, Jacob_Tremblay, Sean_Bridgers, Wendy_Crewson, Matt_Gordon, Amanda_Brugel, Joe_Pingue, Joan_Allen, Zarrin_Darnell-Martin, Cas_Anvar, William_H._Macy, Justin_Mader, Rodrigo_Fernandez-Stoll"
Rush,16,"Daniel_Brühl, Chris_Hemsworth, Olivia_Wilde, Alexandra_Maria_Lara, Pierfrancesco_Favino, David_Calder, Natalie_Dormer, Stephen_Mangan, Christian_McKay, Alistair_Petrie, Julian_Rhind-Tutt, Colin_Stinton, Jamie_de_Courcey, Patrick_Baladi, Vincent_Riotta, Martin_Savage"
Saving Private Ryan,16,"Tom_Hanks, Matt_Damon, Tom_Sizemore, Edward_Burns, Barry_Pepper, Adam_Goldberg, Vin_Diesel, Giovanni_Ribisi, Jeremy_Davies, Ted_Danson, Paul_Giamatti, Dennis_Farina, Max_Martini, Dylan_Bruno, Demetri_Goritsas, Ian_Porter"
Scarface,15,"Al_Pacino, Michelle_Pfeiffer, Steven_Bauer, Mary_Elizabeth_Mastrantonio, Robert_Loggia, Miriam_Colon, F._Murray_Abraham, Paul_Shenar, Harris_Yulin, Ángel_Salazar, Pepe_Serna, Al_Israel, Dennis_Holahan, Mark_Margolis, Michael_Alldredge"
Schindler's List,15,"Liam_Neeson, Ralph_Fiennes, Ben_Kingsley, Caroline_Goodall, Jonathan_Sagall, Embeth_Davidtz, Malgorzata_Gebel, Shmuel_Levy, Mark_Ivanir, Béatrice_Macola, Andrzej_Seweryn, Friedrich_von_Thun, Krzysztof_Luft, Adi_Nitzan, Miri_Fabian"
Se7en,13,"Morgan_Freeman, Brad_Pitt, Kevin_Spacey, Andrew_Kevin_Walker, Daniel_Zacapa, Gwyneth_Paltrow, John_Cassini, Peter_Crombie, Reg_E._Cathey, R._Lee_Ermey, Endre_Hules, Hawthorne_James, Richard_Roundtree"
Seven Samurai,13,"Toshirô_Mifune, Takashi_Shimura, Keiko_Tsushima, Kamatari_Fujiwara, Daisuke_Katô, Minoru_Chiaki, Seiji_Miyaguchi, Bokuzen_Hidari, Yoshio_Inaba, Yoshio_Tsuchiya, Kokuten_Kôdô, Eijirô_Tôno, Kichijirô_Ueda"
Sherlock Jr,8,"Buster_Keaton, Kathryn_McGuire, Joe_Keaton, Ward_Crane, George_Davis, Betsy_Ann_Hisle, Kewpie_Morgan, John_Patrick"
Shutter Island,18,"Leonardo_DiCaprio, Emily_Mortimer, Mark_Ruffalo, Ben_Kingsley, Max_von_Sydow, Michelle_Williams, Patricia_Clarkson, Jackie_Earle_Haley, Ted_Levine, John_Carroll_Lynch, Elias_Koteas, Robin_Bartlett, Christopher_Denham, Nellie_Sciutto, Joseph_Sikora, Curtiss_Cook, Raymond_Anthony_Thomas, Joseph_McKenna"
Singin' in the Rain,9,"Gene_Kelly, Donald_O'Connor, Debbie_Reynolds, Jean_Hagen, Millard_Mitchell, Cyd_Charisse, Douglas_Fowley, Rita_Moreno, Dawn_Addams"
Snatch,11,"Jason_Statham, Brad_Pitt, Stephen_Graham, Ade, Andy_Beckwith, Ewen_Bremner, Nicola_Collins, Charles_Cork, Sorcha_Cusack, Benicio_Del_Toro, Dennis_Farina"
Some Like It Hot,14,"Marilyn_Monroe, Tony_Curtis, Jack_Lemmon, George_Raft, Pat_O'Brien, Joe_E._Brown, Nehemiah_Persoff, Joan_Shawlee, George_E._Stone, Dave_Barry, Mike_Mazurki, Harry_Wilson, Beverly_Wills, Edward_G._Robinson_Jr."
Spider-Man Across the Spider-Verse,18,"Shameik_Moore, Hailee_Steinfeld, Brian_Tyree_Henry, Luna_Lauren_Velez, Jake_Johnson, Oscar_Isaac, Jason_Schwartzman, Issa_Rae, Daniel_Kaluuya, Karan_Soni, Shea_Whigham, Greta_Lee, Mahershala_Ali, Amandla_Stenberg, Jharrel_Jerome, Andy_Samberg, Jack_Quaid, Rachel_Dratch"
Spider-Man Into the Spider-Verse,17,"Shameik_Moore, Jake_Johnson, Hailee_Steinfeld, Mahershala_Ali, Brian_Tyree_Henry, Lily_Tomlin, Luna_Lauren_Velez, Zoë_Kravitz, John_Mulaney, Kimiko_Glenn, Nicolas_Cage, Kathryn_Hahn, Liev_Schreiber, Chris_Pine, Natalie_Morales, Oscar_Isaac, Greta_Lee"
Spider-Man No Way Home,18,"Tom_Holland, Zendaya, Benedict_Cumberbatch, Jacob_Batalon, Jon_Favreau, Jamie_Foxx, Willem_Dafoe, Alfred_Molina, Benedict_Wong, Tony_Revolori, Marisa_Tomei, Andrew_Garfield, Tobey_Maguire, Angourie_Rice, Arian_Moayed, Paula_Newsome, Hannibal_Buress, Martin_Starr"
Spirited Away,6,"Miyu_Irino, Rumi_Hiiragi, Tatsuya_Gashûin, Ryûnosuke_Kamiki, Yô_Ôizumi, Bunta_Sugawara"
Spotlight,18,"Mark_Ruffalo, Michael_Keaton, Rachel_McAdams, Liev_Schreiber, John_Slattery, Brian_d'Arcy_James, Stanley_Tucci, Elena_Wohl, Gene_Amoroso, Doug_Murray, Sharon_McFarlane, Jamey_Sheridan, Neal_Huff, Billy_Crudup, Robert_B._Kennedy, Duane_Murray, Brian_Chamberlain, Michael_Cyril_Creighton"
Stand by Me,15,"Wil_Wheaton, River_Phoenix, Corey_Feldman, Jerry_O'Connell, Kiefer_Sutherland, Casey_Siemaszko, Gary_Riley, Bradley_Gregg, Jason_Oliver_Lipsett, Marshall_Bell, Frances_Lee_McCain, Bruce_Kirby, Scott_Beach, Richard_Dreyfuss, John_Cusack"
Star Wars Episode IV - A New Hope,18,"Mark_Hamill, Harrison_Ford, Carrie_Fisher, Peter_Cushing, Alec_Guinness, Anthony_Daniels, Kenny_Baker, Peter_Mayhew, David_Prowse, Phil_Brown, Shelagh_Fraser, Jack_Purvis, Alex_McCrindle, Eddie_Byrne, Drewe_Henley, Denis_Lawson, Garrick_Hagon, Jack_Klaff"
Star Wars Episode V - The Empire Strikes Back,17,"Mark_Hamill, Harrison_Ford, Carrie_Fisher, Billy_Dee_Williams, Anthony_Daniels, David_Prowse, Peter_Mayhew, Kenny_Baker, Frank_Oz, Alec_Guinness, Jeremy_Bulloch, John_Hollis, Jack_Purvis, Clive_Revill, Kenneth_Colley, Julian_Glover, Michael_Sheard"
Star Wars Episode VI - Return of the Jedi,18,"Mark_Hamill, Harrison_Ford, Carrie_Fisher, Billy_Dee_Williams, Anthony_Daniels, Peter_Mayhew, Sebastian_Shaw, Ian_McDiarmid, Frank_Oz, James_Earl_Jones, David_Prowse, Alec_Guinness, Kenny_Baker, Michael_Pennington, Kenneth_Colley, Michael_Carter, Denis_Lawson, Tim_Rose"
Sunset Boulevard,15,"William_Holden, Gloria_Swanson, Erich_von_Stroheim, Nancy_Olson, Fred_Clark, Lloyd_Gough, Jack_Webb, Franklyn_Farnum, Larry_J._Blake, Cecil_B._DeMille, Hedda_Hopper, Buster_Keaton, Anna_Q._Nilsson, H.B._Warner, Fred_Aldrich"
Taxi Driver,9,"Robert_De_Niro, Jodie_Foster, Cybill_Shepherd, Diahnne_Abbott, Victor_Argo, Peter_Boyle, Albert_Brooks, Nat_Grant, Leonard_Harris"
Terminator 2 Judgment Day,14,"Arnold_Schwarzenegger, Linda_Hamilton, Edward_Furlong, Robert_Patrick, Earl_Boen, Joe_Morton, S._Epatha_Merkerson, Castulo_Guerra, Danny_Cooksey, Jenette_Goldstein, Xander_Berkeley, Robert_Winley, Pete_Schrum, Michael_Edwards"
The Apartment,18,"Jack_Lemmon, Shirley_MacLaine, Fred_MacMurray, Ray_Walston, Jack_Kruschen, David_Lewis, Hope_Holiday, Joan_Shawlee, Naomi_Stevens, Johnny_Seven, Joyce_Jameson, Willard_Waterman, David_White, Edie_Adams, Dorothy_Abbott, Bill_Baldwin, Paul_Bradley, Benny_Burt"
The Battle of Algiers,2,"Brahim_Hadjadj, Jean_Martin"
The Best Years of Our Lives,17,"Myrna_Loy, Dana_Andrews, Fredric_March, Teresa_Wright, Virginia_Mayo, Cathy_O'Donnell, Hoagy_Carmichael, Harold_Russell, Gladys_George, Roman_Bohnen, Ray_Collins, Minna_Gombell, Walter_Baldwin, Steve_Cochran, Dorothy_Adams, Don_Beddoe, Charles_Halton"
The Best of Youth,13,"Luigi_Lo_Cascio, Alessio_Boni, Jasmine_Trinca, Adriana_Asti, Sonia_Bergamasco, Fabrizio_Gifuni, Maya_Sansa, Valentina_Carnelutti, Lidia_Vitale, Claudio_Gioè, Riccardo_Scamarcio, Camilla_Filippi, Michele_Melega"
The Big Lebowski,15,"Jeff_Bridges, John_Goodman, Julianne_Moore, Steve_Buscemi, David_Huddleston, Philip_Seymour_Hoffman, Tara_Reid, Philip_Moon, Mark_Pellegrino, Peter_Stormare, Flea, Torsten_Voges, Jack_Kehler, John_Turturro, Carlos_Leon"
The Bridge on the River Kwai,10,"William_Holden, Alec_Guinness, Jack_Hawkins, Sessue_Hayakawa, James_Donald, Geoffrey_Horne, André_Morell, Percy_Herbert, Harold_Goodwin, Ann_Sears"
The Chaos Class Failed the Class,10,"Münir_Özkul, Tarik_Akan, Kemal_Sunal, Adile_Nasit, Halit_Akçatepe, Sener_Sen, Leman_Akçatepe, Sitki_Akçatepe, Ahmet_Ariman, Ertugrul_Bilda"
The Dark Knight,18,"Christian_Bale, Heath_Ledger, Aaron_Eckhart, Michael_Caine, Maggie_Gyllenhaal, Gary_Oldman, Morgan_Freeman, Monique_Gabriela_Curnen, Ron_Dean, Cillian_Murphy, Chin_Han, Nestor_Carbonell, Eric_Roberts, Ritchie_Coster, Anthony_Michael_Hall, Keith_Szarabajka, Colin_McFarlane, Joshua_Harto"
The Dark Knight Rises,17,"Christian_Bale, Tom_Hardy, Anne_Hathaway, Gary_Oldman, Joseph_Gordon-Levitt, Marion_Cotillard, Morgan_Freeman, Michael_Caine, Matthew_Modine, Alon_Aboutboul, Ben_Mendelsohn, Burn_Gorman, Daniel_Sunjata, Aidan_Gillen, Aliash_Tepina, Nestor_Carbonell, Brett_Cullen"
The Deer Hunter,14,"Robert_De_Niro, Christopher_Walken, John_Cazale, John_Savage, Meryl_Streep, George_Dzundza, Chuck_Aspegren, Shirley_Stoler, Rutanya_Alda, Mady_Kaplan, Amy_Wright, Mary_Ann_Haenel, Richard_Kuss, Joe_Grifasi"
The Departed,17,"Leonardo_DiCaprio, Matt_Damon, Jack_Nicholson, Mark_Wahlberg, Martin_Sheen, Ray_Winstone, Vera_Farmiga, Anthony_Anderson, Alec_Baldwin, Kevin_Corrigan, James_Badge_Dale, David_O'Hara, Mark_Rolston, Robert_Wahlberg, Kristen_Dalton, Richard_Hughes, J.C._MacKenzie"
The Elephant Man,17,"Anthony_Hopkins, John_Hurt, Anne_Bancroft, John_Gielgud, Wendy_Hiller, Freddie_Jones, Michael_Elphick, Hannah_Gordon, Helen_Ryan, John_Standing, Dexter_Fletcher, Lesley_Dunlop, Phoebe_Nicholls, Pat_Gorman, Orla_Pederson, Patsy_Smart, Frederick_Treves"
The Exorcist,16,"Ellen_Burstyn, Max_von_Sydow, Linda_Blair, Lee_J._Cobb, Kitty_Winn, Jack_MacGowran, Jason_Miller, William_O'Malley, Barton_Heyman, Peter_Masterson, Rudolf_Schündler, Robert_Symonds, Arthur_Storch, Vasiliki_Maliaros, Titos_Vandis, John_Mahon"
The Father,7,"Anthony_Hopkins, Olivia_Colman, Mark_Gatiss, Olivia_Williams, Imogen_Poots, Rufus_Sewell, Ayesha_Dharker"
The General,6,"Buster_Keaton, Marion_Mack, Glen_Cavender, Jim_Farley, Joe_Keaton, Mike_Donlin"
The Godfather,18,"Marlon_Brando, Al_Pacino, James_Caan, Richard_S._Castellano, Robert_Duvall, Sterling_Hayden, John_Marley, Richard_Conte, Al_Lettieri, Diane_Keaton, Abe_Vigoda, Talia_Shire, Gianni_Russo, John_Cazale, Rudy_Bond, Al_Martino, Morgana_King, Lenny_Montana"
The Godfather Part II,18,"Al_Pacino, Robert_De_Niro, Robert_Duvall, Diane_Keaton, John_Cazale, Talia_Shire, Lee_Strasberg, Michael_V._Gazzo, G.D._Spradlin, Richard_Bright, Gastone_Moschin, Tom_Rosqui, Bruno_Kirby, Frank_Sivero, Francesca_De_Sapio, Morgana_King, Marianna_Hill, Leopoldo_Trieste"
The Gold Rush,8,"Charles_Chaplin, Mack_Swain, Tom_Murray, Henry_Bergman, Malcolm_Waite, Georgia_Hale, Sam_Allen, Albert_Austin"
