movie_title,actor_count,actors_list
Back to the Future,17,"Michael_J._Fox, Christopher_Lloyd, Lea_Thompson, Crispin_Glover, Tom_Wilson, Claudia_Wells, Marc_McClure, Wendie_Jo_Sperber, George_DiCenzo, Frances_Lee_McCain, James_Tolkan, J.J._Cohen, Casey_Siemaszko, Billy_Zane, Harry_Waters_Jr., Donald_Fullilove, Lisa_Freeman"
Barry Lyndon,16,"Ryan_O'Neal, Marisa_Berenson, Patrick_Magee, Hardy_Krüger, Steven_Berkoff, Marie_Kean, Diana_Körner, Murray_Melvin, Frank_Middlemass, André_Morell, Godfrey_Quigley, Leonard_Rossiter, Philip_Stone, Leon_Vitali, John_Bindon, Roger_Booth"
Batman Begins,17,"Christian_Bale, Michael_Caine, Ken_Watanabe, Liam_Neeson, Katie_Holmes, Gary_Oldman, Cillian_Murphy, Tom_Wilkinson, Rutger_Hauer, Linus_Roache, Mark_Boone_Junior, Morgan_Freeman, Larry_Holden, Gerard_Murphy, Colin_McFarlane, Sara_Stewart, Richard_Brake"
Before Sunrise,5,"Ethan_Hawke, Julie_Delpy, Erni_Mangold, Haymon_Maria_Buttinger, Hans_Weingartner"
Before Sunset,6,"Ethan_Hawke, Julie_Delpy, Vernon_Dobtcheff, Louise_Lemoine_Torrès, Rodolphe_Pauly, Albert_Delpy"
Ben-Hur,13,"Charlton_Heston, Jack_Hawkins, Stephen_Boyd, Haya_Harareet, Hugh_Griffith, Martha_Scott, Cathy_O'Donnell, Sam_Jaffe, Finlay_Currie, Frank_Thring, Terence_Longdon, George_Relph, André_Morell"
Bicycle Thieves,9,"Lamberto_Maggiorani, Enzo_Staiola, Lianella_Carell, Elena_Altieri, Gino_Saltamerenda, Giulio_Chiari, Vittorio_Antonucci, Fausto_Guerzoni, Memmo_Carotenuto"
Blade Runner,14,"Harrison_Ford, Rutger_Hauer, Sean_Young, Edward_James_Olmos, M._Emmet_Walsh, Daryl_Hannah, William_Sanderson, Brion_James, Joe_Turkel, Joanna_Cassidy, James_Hong, Morgan_Paull, Hy_Pyke, Kimiko_Hiroshige"
Braveheart,17,"Mel_Gibson, Sophie_Marceau, Patrick_McGoohan, James_Robinson, Sean_Lawlor, Sandy_Nelson, James_Cosmo, Sean_McGinley, Alan_Tall, Andrew_Weir, Gerda_Stevenson, Ralph_Riach, Mhairi_Calvey, Brian_Cox, Peter_Hanly, Stephen_Billington, Angus_Macfadyen"
Capernaum,2,"Zain_Al_Rafeea, Boluwatife_Treasure_Bankole"
Casablanca,14,"Humphrey_Bogart, Ingrid_Bergman, Paul_Henreid, Claude_Rains, Conrad_Veidt, Sydney_Greenstreet, Peter_Lorre, S.Z._Sakall, Madeleine_Lebeau, Dooley_Wilson, Joy_Page, John_Qualen, Leonid_Kinskey, Curt_Bois"
Casino,15,"Robert_De_Niro, Sharon_Stone, Joe_Pesci, James_Woods, Don_Rickles, Alan_King, Kevin_Pollak, L.Q._Jones, Dick_Smothers, Frank_Vincent, John_Bloom, Pasquale_Cajano, Melissa_Prophet, Vinny_Vella, Frankie_Avalon"
Catch Me If You Can,18,"Leonardo_DiCaprio, Tom_Hanks, Christopher_Walken, Martin_Sheen, Nathalie_Baye, Amy_Adams, James_Brolin, Brian_Howe, Frank_John_Hughes, Steve_Eastin, Chris_Ellis, John_Finn, Jennifer_Garner, Nancy_Lenehan, Ellen_Pompeo, Elizabeth_Banks, Guy_Thauvette, Candice_Azzara"
Chainsaw Man - The Movie Reze Arc,5,"Ai_Fairouz, Natsuki_Hanae, Kenjiro_Tsuda, Eri_Kitamura, Reina_Ueda"
Children of Heaven,3,"Reza_Naji, Amir_Farrokh_Hashemian, Bahare_Seddiqi"
Chinatown,16,"Jack_Nicholson, Faye_Dunaway, John_Huston, Perry_Lopez, John_Hillerman, Darrell_Zwerling, Diane_Ladd, Roy_Jenson, Roman_Polanski, Richard_Bakalyan, Joe_Mantell, Bruce_Glover, Nandu_Hinds, James_Hong, Jerry_Fujikawa, Belinda_Palmer"
Cinema Paradiso,16,"Philippe_Noiret, Enzo_Cannavale, Antonella_Attili, Isa_Danieli, Leo_Gullotta, Marco_Leonardi, Pupella_Maggio, Agnese_Nano, Leopoldo_Trieste, Salvatore_Cascio, Tano_Cimarosa, Nicola_Di_Pinto, Roberta_Lena, Nino_Terzo, Jacques_Perrin, Brigitte_Fossey"
Citizen Kane,17,"Orson_Welles, Joseph_Cotten, Dorothy_Comingore, Agnes_Moorehead, Ruth_Warrick, Ray_Collins, Erskine_Sanford, Everett_Sloane, William_Alland, Paul_Stewart, George_Coulouris, Fortunio_Bonanova, Gus_Schilling, Philip_Van_Zandt, Georgia_Backus, Harry_Shannon, Sonny_Bupp"
City Lights,11,"Charles_Chaplin, Virginia_Cherrill, Harry_Myers, Al_Ernest_Garcia, Hank_Mann, Albert_Austin, Eddie_Baker, Henry_Bergman, Edward_Biby, Buster_Brodie, Jeanne_Carpenter"
City of God,6,"Alexandre_Rodrigues, Leandro_Firmino, Douglas_Silva, Jonathan_Haagensen, Seu_Jorge, Alice_Braga"
Coco,15,"Anthony_Gonzalez, Gael_García_Bernal, Benjamin_Bratt, Alanna_Ubach, Renee_Victor, Jaime_Camil, Alfonso_Arau, Herbert_Siguenza, Gabriel_Iglesias, Lombardo_Boyar, Natalia_Cordova-Buckley, Selene_Luna, Edward_James_Olmos, Sofía_Espinosa, Dyana_Ortelli"
Come and See,10,"Aleksey_Kravchenko, Olga_Mironova, Liubomiras_Laucevicius, Vladas_Bagdonas, Jüri_Lumiste, Viktors_Lorencs, Evgeniy_Tilicheev, Vasiliy_Domrachyov, Evgeniy_Kryzhanovskiy, Viktor_Manaev"
Dangal,12,"Aamir_Khan, Sakshi_Tanwar, Fatima_Sana_Shaikh, Sanya_Malhotra, Aparshakti_Khurana, Zaira_Wasim, Suhani_Bhatnagar, Ritvik_Sahore, Girish_Kulkarni, Mahesh_Balraj, Vivan_Bhatena, Karamveer_Choudhary"
